datetime,symbol,open,high,low,close,volume
2019-03-29 05:30:00,NASDAQ:LYFT,87.24,88.6,78.02,78.29,71485240.0
2019-04-01 05:30:00,NASDAQ:LYFT,74.9,75.0,67.78,69.01,41799258.0
2019-04-02 05:30:00,NASDAQ:LYFT,66.9,70.2,66.1,68.97,22483330.0
2019-04-03 05:30:00,NASDAQ:LYFT,70.06,72.0,69.12,70.0,15662287.0
2019-04-04 05:30:00,NASDAQ:LYFT,70.48,72.89,70.22,72.0,9233730.0
2019-04-05 05:30:00,NASDAQ:LYFT,73.94,76.1,73.3,74.45,11200122.0
2019-04-08 05:30:00,NASDAQ:LYFT,74.99,74.99,70.23,70.23,6599481.0
2019-04-09 05:30:00,NASDAQ:LYFT,69.5,69.7,67.11,67.44,8223332.0
2019-04-10 05:30:00,NASDAQ:LYFT,67.25,67.35,59.75,60.12,26392068.0
2019-04-11 05:30:00,NASDAQ:LYFT,61.1,62.3,60.31,61.01,12405691.0
2019-04-12 05:30:00,NASDAQ:LYFT,61.38,61.4899,57.66,59.895,13787541.0
2019-04-15 05:30:00,NASDAQ:LYFT,59.72,59.8,55.5595,56.11,14345925.0
2019-04-16 05:30:00,NASDAQ:LYFT,56.86,57.94,56.18,56.25,9965046.0
2019-04-17 05:30:00,NASDAQ:LYFT,56.5,59.61,55.62,59.51,10768260.0
2019-04-18 05:30:00,NASDAQ:LYFT,59.65,59.66,57.6,58.36,6869872.0
2019-04-22 05:30:00,NASDAQ:LYFT,57.9,61.23,57.6505,60.94,5265581.0
2019-04-23 05:30:00,NASDAQ:LYFT,62.02,62.1,59.33,60.25,11975038.0
2019-04-24 05:30:00,NASDAQ:LYFT,60.11,60.4892,57.77,57.82,5157959.0
2019-04-25 05:30:00,NASDAQ:LYFT,58.2,58.4569,55.861,56.34,5097091.0
2019-04-26 05:30:00,NASDAQ:LYFT,56.3,57.53,54.32,57.24,5981041.0
2019-04-29 05:30:00,NASDAQ:LYFT,57.6,60.71,56.0,60.59,7231802.0
2019-04-30 05:30:00,NASDAQ:LYFT,59.93,61.4,58.22,59.8,6072676.0
2019-05-01 05:30:00,NASDAQ:LYFT,60.7,60.71,58.5321,58.75,3450824.0
2019-05-02 05:30:00,NASDAQ:LYFT,58.44,62.01,57.33,61.5,6634306.0
2019-05-03 05:30:00,NASDAQ:LYFT,61.21,62.985,60.1008,62.51,9393560.0
2019-05-06 05:30:00,NASDAQ:LYFT,60.55,61.5,59.9,60.57,5184648.0
2019-05-07 05:30:00,NASDAQ:LYFT,60.34,61.6,58.12,59.34,11591711.0
2019-05-08 05:30:00,NASDAQ:LYFT,57.69,60.45,52.78,52.91,22640392.0
2019-05-09 05:30:00,NASDAQ:LYFT,54.07,56.45,53.1,55.18,9603468.0
2019-05-10 05:30:00,NASDAQ:LYFT,56.39,56.49,50.02,51.09,23111233.0
2019-05-13 05:30:00,NASDAQ:LYFT,50.0,50.09,47.17,48.15,10007408.0
2019-05-14 05:30:00,NASDAQ:LYFT,48.82,51.39,48.0,50.52,7007446.0
2019-05-15 05:30:00,NASDAQ:LYFT,50.2,54.85,49.86,54.04,7909299.0
2019-05-16 05:30:00,NASDAQ:LYFT,54.1,56.72,53.55,55.6,7101652.0
2019-05-17 05:30:00,NASDAQ:LYFT,54.5,55.11,53.46,53.79,4326534.0
2019-05-20 05:30:00,NASDAQ:LYFT,52.14,54.69,51.845,54.63,2709956.0
2019-05-21 05:30:00,NASDAQ:LYFT,54.77,56.03,53.53,55.51,3490690.0
2019-05-22 05:30:00,NASDAQ:LYFT,54.68,57.96,54.62,57.88,3913654.0
2019-05-23 05:30:00,NASDAQ:LYFT,56.82,58.48,56.32,58.11,3649271.0
2019-05-24 05:30:00,NASDAQ:LYFT,58.5,58.79,56.61,57.1,2412541.0
2019-05-28 05:30:00,NASDAQ:LYFT,56.85,57.99,55.4,56.89,2836103.0
2019-05-29 05:30:00,NASDAQ:LYFT,56.3,56.73,54.055,56.26,3166532.0
2019-05-30 05:30:00,NASDAQ:LYFT,56.04,56.545,54.07,54.83,2558421.0
2019-05-31 05:30:00,NASDAQ:LYFT,56.41,58.45,54.57,57.62,5123655.0
2019-06-03 05:30:00,NASDAQ:LYFT,58.52,61.77,58.32,59.54,5549283.0
2019-06-04 05:30:00,NASDAQ:LYFT,61.1,61.17,57.56,59.17,4093235.0
2019-06-05 05:30:00,NASDAQ:LYFT,59.4,63.24,59.2,63.01,4834398.0
2019-06-06 05:30:00,NASDAQ:LYFT,62.25,63.18,60.4,61.63,3844881.0
2019-06-07 05:30:00,NASDAQ:LYFT,62.0,62.23,59.2125,59.26,3881889.0
2019-06-10 05:30:00,NASDAQ:LYFT,59.45,60.58,56.7,56.76,2677302.0
2019-06-11 05:30:00,NASDAQ:LYFT,59.08,59.25,56.31,58.07,2719393.0
2019-06-12 05:30:00,NASDAQ:LYFT,57.18,58.869,57.05,58.41,1534541.0
2019-06-13 05:30:00,NASDAQ:LYFT,59.48,61.35,58.75,61.21,2681485.0
2019-06-14 05:30:00,NASDAQ:LYFT,61.0,61.39,59.97,60.96,1955832.0
2019-06-17 05:30:00,NASDAQ:LYFT,60.48,64.14,60.32,63.6,4386247.0
2019-06-18 05:30:00,NASDAQ:LYFT,63.7,64.76,61.61,64.4,4670249.0
2019-06-19 05:30:00,NASDAQ:LYFT,64.5,65.07,63.15,63.55,3014571.0
2019-06-20 05:30:00,NASDAQ:LYFT,64.0,64.2075,62.11,62.84,2323486.0
2019-06-21 05:30:00,NASDAQ:LYFT,62.8,64.3,62.52,64.26,3921662.0
2019-06-24 05:30:00,NASDAQ:LYFT,64.0,64.27,62.86,63.76,2281952.0
2019-06-25 05:30:00,NASDAQ:LYFT,63.76,64.27,62.66,64.04,2064936.0
2019-06-26 05:30:00,NASDAQ:LYFT,64.32,64.64,62.77,62.97,1913526.0
2019-06-27 05:30:00,NASDAQ:LYFT,63.52,65.36,63.14,65.27,3734526.0
2019-06-28 05:30:00,NASDAQ:LYFT,65.2,66.64,64.44,65.71,6317350.0
2019-07-01 05:30:00,NASDAQ:LYFT,66.0,66.1,61.5,62.0,4452383.0
2019-07-02 05:30:00,NASDAQ:LYFT,62.89,62.9,60.25,60.35,3039052.0
2019-07-03 05:30:00,NASDAQ:LYFT,60.64,61.2,60.38,60.6,1246873.0
2019-07-05 05:30:00,NASDAQ:LYFT,60.71,60.8799,58.75,59.39,3331763.0
2019-07-08 05:30:00,NASDAQ:LYFT,59.31,60.09,58.5,59.79,2792260.0
2019-07-09 05:30:00,NASDAQ:LYFT,59.79,62.1206,59.78,61.83,3091241.0
2019-07-10 05:30:00,NASDAQ:LYFT,62.28,62.74,61.43,62.3,2337768.0
2019-07-11 05:30:00,NASDAQ:LYFT,62.31,62.66,61.11,61.85,1923231.0
2019-07-12 05:30:00,NASDAQ:LYFT,61.85,64.6,60.62,64.25,5665178.0
2019-07-15 05:30:00,NASDAQ:LYFT,64.39,64.99,63.82,64.79,1921805.0
2019-07-16 05:30:00,NASDAQ:LYFT,64.33,65.46,64.1525,64.8,1807062.0
2019-07-17 05:30:00,NASDAQ:LYFT,64.5,65.26,63.33,65.17,1597449.0
2019-07-18 05:30:00,NASDAQ:LYFT,65.0,66.13,64.57,66.0,1897696.0
2019-07-19 05:30:00,NASDAQ:LYFT,66.22,68.33,66.15,67.45,3734856.0
2019-07-22 05:30:00,NASDAQ:LYFT,67.22,67.3845,65.7302,66.0,1916082.0
2019-07-23 05:30:00,NASDAQ:LYFT,66.25,66.49,64.83,64.93,1492358.0
2019-07-24 05:30:00,NASDAQ:LYFT,64.93,65.78,64.49,65.23,1427450.0
2019-07-25 05:30:00,NASDAQ:LYFT,65.53,65.63,64.63,65.01,1046994.0
2019-07-26 05:30:00,NASDAQ:LYFT,65.23,66.7,65.23,65.52,1911164.0
2019-07-29 05:30:00,NASDAQ:LYFT,65.74,65.99,62.94,64.03,2179202.0
2019-07-30 05:30:00,NASDAQ:LYFT,63.8,63.94,61.68,62.46,2619198.0
2019-07-31 05:30:00,NASDAQ:LYFT,62.51,62.83,60.3651,60.87,2230362.0
2019-08-01 05:30:00,NASDAQ:LYFT,60.61,61.31,59.59,59.77,2278420.0
2019-08-02 05:30:00,NASDAQ:LYFT,59.5,59.6,57.14,58.61,2253326.0
2019-08-05 05:30:00,NASDAQ:LYFT,57.44,59.694,56.3,59.51,2487176.0
2019-08-06 05:30:00,NASDAQ:LYFT,59.79,60.8,57.16,58.7,2849725.0
2019-08-07 05:30:00,NASDAQ:LYFT,58.0,61.44,57.66,60.29,8786629.0
2019-08-08 05:30:00,NASDAQ:LYFT,65.5,65.92,61.5,62.1,13257226.0
2019-08-09 05:30:00,NASDAQ:LYFT,61.69,61.95,58.12,59.12,8687368.0
2019-08-12 05:30:00,NASDAQ:LYFT,58.51,58.6,55.71,56.18,5457111.0
2019-08-13 05:30:00,NASDAQ:LYFT,56.0,58.49,54.39,58.08,4371272.0
2019-08-14 05:30:00,NASDAQ:LYFT,56.52,57.23,53.66,54.49,4097016.0
2019-08-15 05:30:00,NASDAQ:LYFT,54.99,54.99,52.0704,52.8,5209858.0
2019-08-16 05:30:00,NASDAQ:LYFT,53.02,53.76,52.15,52.47,6039148.0
2019-08-19 05:30:00,NASDAQ:LYFT,51.6,53.55,50.51,51.68,26232273.0
2019-08-20 05:30:00,NASDAQ:LYFT,51.47,54.42,51.11,53.65,11093863.0
2019-08-21 05:30:00,NASDAQ:LYFT,53.81,54.69,52.86,54.15,6549817.0
2019-08-22 05:30:00,NASDAQ:LYFT,53.54,54.33,51.28,51.36,6494548.0
2019-08-23 05:30:00,NASDAQ:LYFT,51.36,51.56,48.22,49.11,9570624.0
2019-08-26 05:30:00,NASDAQ:LYFT,50.2,51.5,49.72,51.21,7191658.0
2019-08-27 05:30:00,NASDAQ:LYFT,51.24,51.3,48.72,49.61,6315076.0
2019-08-28 05:30:00,NASDAQ:LYFT,49.31,49.48,48.22,48.84,4794857.0
2019-08-29 05:30:00,NASDAQ:LYFT,49.35,50.2,48.64,49.73,5742514.0
2019-08-30 05:30:00,NASDAQ:LYFT,49.86,49.94,47.87,48.97,5593735.0
2019-09-03 05:30:00,NASDAQ:LYFT,48.23,48.95,45.4,45.42,9280741.0
2019-09-04 05:30:00,NASDAQ:LYFT,45.7,46.8,44.75,46.35,8577230.0
2019-09-05 05:30:00,NASDAQ:LYFT,47.7,47.81,46.06,46.4,8456165.0
2019-09-06 05:30:00,NASDAQ:LYFT,46.65,46.65,44.12,44.5,9667699.0
2019-09-09 05:30:00,NASDAQ:LYFT,44.51,45.16,44.01,44.38,11125349.0
2019-09-10 05:30:00,NASDAQ:LYFT,44.05,46.04,43.41,45.45,7963936.0
2019-09-11 05:30:00,NASDAQ:LYFT,45.25,49.15,45.1,46.53,13488832.0
2019-09-12 05:30:00,NASDAQ:LYFT,46.72,47.46,46.0,46.99,5028574.0
2019-09-13 05:30:00,NASDAQ:LYFT,46.89,46.99,46.01,46.1,4094139.0
2019-09-16 05:30:00,NASDAQ:LYFT,46.63,49.0,46.5501,47.79,8634809.0
2019-09-17 05:30:00,NASDAQ:LYFT,48.31,48.42,46.82,48.06,4401962.0
2019-09-18 05:30:00,NASDAQ:LYFT,47.75,47.87,45.83,46.62,8036980.0
2019-09-19 05:30:00,NASDAQ:LYFT,46.83,48.3833,46.63,47.28,7988646.0
2019-09-20 05:30:00,NASDAQ:LYFT,47.45,47.5,45.91,46.43,15282362.0
2019-09-23 05:30:00,NASDAQ:LYFT,46.31,46.63,45.0,45.31,6625216.0
2019-09-24 05:30:00,NASDAQ:LYFT,45.25,45.32,41.7,41.88,9911362.0
2019-09-25 05:30:00,NASDAQ:LYFT,41.97,42.03,40.31,41.78,9836542.0
2019-09-26 05:30:00,NASDAQ:LYFT,41.67,42.1365,40.67,41.9,5516028.0
2019-09-27 05:30:00,NASDAQ:LYFT,42.89,42.9,40.86,41.35,6433422.0
2019-09-30 05:30:00,NASDAQ:LYFT,41.41,41.59,40.56,40.84,3923036.0
2019-10-01 05:30:00,NASDAQ:LYFT,40.82,40.96,38.68,39.57,8126194.0
2019-10-02 05:30:00,NASDAQ:LYFT,38.63,39.305,37.9201,38.39,7871145.0
2019-10-03 05:30:00,NASDAQ:LYFT,38.44,39.66,38.01,39.52,5170428.0
2019-10-04 05:30:00,NASDAQ:LYFT,39.38,39.74,38.32,39.16,3681240.0
2019-10-07 05:30:00,NASDAQ:LYFT,39.55,40.13,39.1138,39.24,3920910.0
2019-10-08 05:30:00,NASDAQ:LYFT,38.8,39.24,38.07,38.66,3319331.0
2019-10-09 05:30:00,NASDAQ:LYFT,38.7,38.75,38.01,38.2,4109824.0
2019-10-10 05:30:00,NASDAQ:LYFT,38.39,38.7,37.0678,37.7,7320788.0
2019-10-11 05:30:00,NASDAQ:LYFT,37.9,39.92,37.9,39.485,6909670.0
2019-10-14 05:30:00,NASDAQ:LYFT,39.93,40.31,39.25,39.8,4580904.0
2019-10-15 05:30:00,NASDAQ:LYFT,39.8,41.18,39.65,41.08,5781396.0
2019-10-16 05:30:00,NASDAQ:LYFT,40.9,41.02,39.85,40.51,4506318.0
2019-10-17 05:30:00,NASDAQ:LYFT,40.53,42.07,40.21,41.67,6195631.0
2019-10-18 05:30:00,NASDAQ:LYFT,41.61,41.66,40.35,40.79,5569818.0
2019-10-21 05:30:00,NASDAQ:LYFT,41.25,41.67,40.57,40.88,3019393.0
2019-10-22 05:30:00,NASDAQ:LYFT,41.15,45.36,40.06,43.56,19559846.0
2019-10-23 05:30:00,NASDAQ:LYFT,43.67,44.19,42.88,43.08,4781059.0
2019-10-24 05:30:00,NASDAQ:LYFT,43.01,43.75,42.12,43.72,4107584.0
2019-10-25 05:30:00,NASDAQ:LYFT,43.71,44.68,43.38,44.54,5062691.0
2019-10-28 05:30:00,NASDAQ:LYFT,44.68,44.78,43.55,44.42,4614623.0
2019-10-29 05:30:00,NASDAQ:LYFT,44.25,44.25,43.04,43.68,3785721.0
2019-10-30 05:30:00,NASDAQ:LYFT,43.45,44.21,43.0002,44.11,8745840.0
2019-10-31 05:30:00,NASDAQ:LYFT,45.63,45.82,41.16,41.44,16218646.0
2019-11-01 05:30:00,NASDAQ:LYFT,41.7,43.32,41.58,42.98,7496924.0
2019-11-04 05:30:00,NASDAQ:LYFT,43.0,43.8,42.37,42.83,6285585.0
2019-11-05 05:30:00,NASDAQ:LYFT,42.4,43.09,41.25,41.37,6636643.0
2019-11-06 05:30:00,NASDAQ:LYFT,40.6,43.275,40.48,42.92,9637943.0
